"hgnc_symbol","entrezgene_id","description","gene_biotype"
"CDCA7",83879,"cell division cycle associated 7 [Source:HGNC Symbol;Acc:HGNC:14628]","protein_coding"
"CDCA7L",55536,"cell division cycle associated 7 like [Source:HGNC Symbol;Acc:HGNC:30777]","protein_coding"
"CDCA8",55143,"cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]","protein_coding"
"CDCP1",64866,"CUB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:24357]","protein_coding"
"CDCP2",200008,"CUB domain containing protein 2 [Source:HGNC Symbol;Acc:HGNC:27297]","protein_coding"
"CDH1",999,"cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]","protein_coding"
"CDH10",1008,"cadherin 10 [Source:HGNC Symbol;Acc:HGNC:1749]","protein_coding"
"CDH11",1009,"cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]","protein_coding"
"CDH12",1010,"cadherin 12 [Source:HGNC Symbol;Acc:HGNC:1751]","protein_coding"
"CDH13",1012,"cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]","protein_coding"
"CDH15",1013,"cadherin 15 [Source:HGNC Symbol;Acc:HGNC:1754]","protein_coding"
"CDH16",1014,"cadherin 16 [Source:HGNC Symbol;Acc:HGNC:1755]","protein_coding"
"CDH17",1015,"cadherin 17 [Source:HGNC Symbol;Acc:HGNC:1756]","protein_coding"
"CDH18",1016,"cadherin 18 [Source:HGNC Symbol;Acc:HGNC:1757]","protein_coding"
"CDH19",28513,"cadherin 19 [Source:HGNC Symbol;Acc:HGNC:1758]","protein_coding"
"CDH2",1000,"cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]","protein_coding"
"CDH20",28316,"cadherin 20 [Source:HGNC Symbol;Acc:HGNC:1760]","protein_coding"
"CDH22",64405,"cadherin 22 [Source:HGNC Symbol;Acc:HGNC:13251]","protein_coding"
"CDH23",64072,"cadherin related 23 [Source:HGNC Symbol;Acc:HGNC:13733]","protein_coding"
"CDH24",64403,"cadherin 24 [Source:HGNC Symbol;Acc:HGNC:14265]","protein_coding"
"CDH26",60437,"cadherin 26 [Source:HGNC Symbol;Acc:HGNC:15902]","protein_coding"
"CDH3",1001,"cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]","protein_coding"
"CDH4",1002,"cadherin 4 [Source:HGNC Symbol;Acc:HGNC:1763]","protein_coding"
"CDH5",1003,"cadherin 5 [Source:HGNC Symbol;Acc:HGNC:1764]","protein_coding"
"CDH6",1004,"cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]","protein_coding"
"CDH7",1005,"cadherin 7 [Source:HGNC Symbol;Acc:HGNC:1766]","protein_coding"
"CDH8",1006,"cadherin 8 [Source:HGNC Symbol;Acc:HGNC:1767]","protein_coding"
"CDH9",1007,"cadherin 9 [Source:HGNC Symbol;Acc:HGNC:1768]","protein_coding"
"CDHR1",92211,"cadherin related family member 1 [Source:HGNC Symbol;Acc:HGNC:14550]","protein_coding"
"CDHR2",54825,"cadherin related family member 2 [Source:HGNC Symbol;Acc:HGNC:18231]","protein_coding"
"CDHR3",222256,"cadherin related family member 3 [Source:HGNC Symbol;Acc:HGNC:26308]","protein_coding"
"CDHR4",389118,"cadherin related family member 4 [Source:HGNC Symbol;Acc:HGNC:34527]","protein_coding"
"CDHR5",53841,"cadherin related family member 5 [Source:HGNC Symbol;Acc:HGNC:7521]","protein_coding"
"CDIPT",10423,"CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:HGNC:1769]","protein_coding"
"CDK1",983,"cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]","protein_coding"
"CDK10",8558,"cyclin dependent kinase 10 [Source:HGNC Symbol;Acc:HGNC:1770]","protein_coding"
"CDK11B",984,"cyclin dependent kinase 11B [Source:HGNC Symbol;Acc:HGNC:1729]","protein_coding"
"CDK12",51755,"cyclin dependent kinase 12 [Source:HGNC Symbol;Acc:HGNC:24224]","protein_coding"
"CDK13",8621,"cyclin dependent kinase 13 [Source:HGNC Symbol;Acc:HGNC:1733]","protein_coding"
"CDK14",5218,"cyclin dependent kinase 14 [Source:HGNC Symbol;Acc:HGNC:8883]","protein_coding"
"CDK15",65061,"cyclin dependent kinase 15 [Source:HGNC Symbol;Acc:HGNC:14434]","protein_coding"
"CDK16",5127,"cyclin dependent kinase 16 [Source:HGNC Symbol;Acc:HGNC:8749]","protein_coding"
"CDK17",5128,"cyclin dependent kinase 17 [Source:HGNC Symbol;Acc:HGNC:8750]","protein_coding"
"CDK18",5129,"cyclin dependent kinase 18 [Source:HGNC Symbol;Acc:HGNC:8751]","protein_coding"
"CDK19",23097,"cyclin dependent kinase 19 [Source:HGNC Symbol;Acc:HGNC:19338]","protein_coding"
"CDK2",1017,"cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]","protein_coding"
"CDK20",23552,"cyclin dependent kinase 20 [Source:HGNC Symbol;Acc:HGNC:21420]","protein_coding"
"CDK2AP1",8099,"cyclin dependent kinase 2 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14002]","protein_coding"
"CDK2AP2",10263,"cyclin dependent kinase 2 associated protein 2 [Source:HGNC Symbol;Acc:HGNC:30833]","protein_coding"
"CDK3",1018,"cyclin dependent kinase 3 [Source:HGNC Symbol;Acc:HGNC:1772]","protein_coding"
"CDK4",1019,"cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]","protein_coding"
"CDK5",1020,"cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774]","protein_coding"
"CDK5R2",8941,"cyclin dependent kinase 5 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:1776]","protein_coding"
"CDK5RAP1",51654,"CDK5 regulatory subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15880]","protein_coding"
"CDK5RAP2",55755,"CDK5 regulatory subunit associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18672]","protein_coding"
"CDK5RAP3",80279,"CDK5 regulatory subunit associated protein 3 [Source:HGNC Symbol;Acc:HGNC:18673]","protein_coding"
"CDK6",1021,"cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]","protein_coding"
"CDK7",1022,"cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]","protein_coding"
"CDK8",1024,"cyclin dependent kinase 8 [Source:HGNC Symbol;Acc:HGNC:1779]","protein_coding"
"CDK9",1025,"cyclin dependent kinase 9 [Source:HGNC Symbol;Acc:HGNC:1780]","protein_coding"
"CDKAL1",54901,"CDK5 regulatory subunit associated protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:21050]","protein_coding"
"CDKL2",8999,"cyclin dependent kinase like 2 [Source:HGNC Symbol;Acc:HGNC:1782]","protein_coding"
"CDKL3",51265,"cyclin dependent kinase like 3 [Source:HGNC Symbol;Acc:HGNC:15483]","protein_coding"
"CDKL4",344387,"cyclin dependent kinase like 4 [Source:HGNC Symbol;Acc:HGNC:19287]","protein_coding"
"CDKL5",6792,"cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]","protein_coding"
"CDKN1A",1026,"cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]","protein_coding"
"CDKN1B",1027,"cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]","protein_coding"
"CDKN1C",1028,"cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]","protein_coding"
"CDKN2A",1029,"cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]","protein_coding"
"CDKN2AIP",55602,"CDKN2A interacting protein [Source:HGNC Symbol;Acc:HGNC:24325]","protein_coding"
"CDKN2AIPNL",91368,"CDKN2A interacting protein N-terminal like [Source:HGNC Symbol;Acc:HGNC:30545]","protein_coding"
"CDKN2B",1030,"cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]","protein_coding"
"CDKN2C",1031,"cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]","protein_coding"
"CDKN2D",1032,"cyclin dependent kinase inhibitor 2D [Source:HGNC Symbol;Acc:HGNC:1790]","protein_coding"
"CDKN3",1033,"cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]","protein_coding"
"CDNF",441549,"cerebral dopamine neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:24913]","protein_coding"
"CDO1",1036,"cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]","protein_coding"
"CDPF1",150383,"cysteine rich DPF motif domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33710]","protein_coding"
"CDR1",NA,"cerebellar degeneration related 1 [Source:HGNC Symbol;Acc:HGNC:1798]","lncRNA"
"CDR2",1039,"cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]","protein_coding"
"CDR2L",30850,"cerebellar degeneration related protein 2 like [Source:HGNC Symbol;Acc:HGNC:29999]","protein_coding"
"CDRT15",146822,"CMT1A duplicated region transcript 15 [Source:HGNC Symbol;Acc:HGNC:14395]","protein_coding"
"CDRT15L2",256223,"CMT1A duplicated region transcript 15 like 2 [Source:HGNC Symbol;Acc:HGNC:34075]","protein_coding"
"CDRT15P1",NA,"CDRT15 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33168]","transcribed_unprocessed_pseudogene"
"CDRT15P2",NA,"CDRT15 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:34074]","transcribed_unprocessed_pseudogene"
"CDRT4",284040,"CMT1A duplicated region transcript 4 [Source:HGNC Symbol;Acc:HGNC:14383]","protein_coding"
"CDRT7",94150,"CMT1A duplicated region transcript 7 [Source:HGNC Symbol;Acc:HGNC:14386]","lncRNA"
"CDS1",1040,"CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800]","protein_coding"
"CDS2",8760,"CDP-diacylglycerol synthase 2 [Source:HGNC Symbol;Acc:HGNC:1801]","protein_coding"
"CDSN",1041,"corneodesmosin [Source:HGNC Symbol;Acc:HGNC:1802]","protein_coding"
"CDT1",81620,"chromatin licensing and DNA replication factor 1 [Source:HGNC Symbol;Acc:HGNC:24576]","protein_coding"
"CDV3",55573,"CDV3 homolog [Source:HGNC Symbol;Acc:HGNC:26928]","protein_coding"
"CDX1",1044,"caudal type homeobox 1 [Source:HGNC Symbol;Acc:HGNC:1805]","protein_coding"
"CDX2",1045,"caudal type homeobox 2 [Source:HGNC Symbol;Acc:HGNC:1806]","protein_coding"
"CDX4",1046,"caudal type homeobox 4 [Source:HGNC Symbol;Acc:HGNC:1808]","protein_coding"
"CDYL",9425,"chromodomain Y like [Source:HGNC Symbol;Acc:HGNC:1811]","protein_coding"
"CDYL2",124359,"chromodomain Y like 2 [Source:HGNC Symbol;Acc:HGNC:23030]","protein_coding"
"CEACAM1",634,"CEA cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:1814]","protein_coding"
"CEACAM16",388551,"CEA cell adhesion molecule 16, tectorial membrane component [Source:HGNC Symbol;Acc:HGNC:31948]","protein_coding"
"CEACAM18",729767,"CEA cell adhesion molecule 18 [Source:HGNC Symbol;Acc:HGNC:31949]","protein_coding"
"CEACAM19",56971,"CEA cell adhesion molecule 19 [Source:HGNC Symbol;Acc:HGNC:31951]","protein_coding"
"CEACAM20",125931,"CEA cell adhesion molecule 20 [Source:HGNC Symbol;Acc:HGNC:24879]","protein_coding"
"CEACAM21",90273,"CEA cell adhesion molecule 21 [Source:HGNC Symbol;Acc:HGNC:28834]","protein_coding"
"CEACAM22P",NA,"CEA cell adhesion molecule 22, pseudogene [Source:HGNC Symbol;Acc:HGNC:38029]","transcribed_unprocessed_pseudogene"
"CEACAM22P",388550,"CEA cell adhesion molecule 22, pseudogene [Source:HGNC Symbol;Acc:HGNC:38029]","lncRNA"
"CEACAM3",1084,"CEA cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:1815]","protein_coding"
"CEACAM4",1089,"CEA cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:1816]","protein_coding"
"CEACAM5",1048,"CEA cell adhesion molecule 5 [Source:HGNC Symbol;Acc:HGNC:1817]","protein_coding"
"CEACAM6",4680,"CEA cell adhesion molecule 6 [Source:HGNC Symbol;Acc:HGNC:1818]","protein_coding"
"CEACAM7",1087,"CEA cell adhesion molecule 7 [Source:HGNC Symbol;Acc:HGNC:1819]","protein_coding"
"CEACAM8",1088,"CEA cell adhesion molecule 8 [Source:HGNC Symbol;Acc:HGNC:1820]","protein_coding"
"CEBPA",1050,"CCAAT enhancer binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1833]","protein_coding"
"CEBPB",1051,"CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]","protein_coding"
"CEBPD",1052,"CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835]","protein_coding"
"CEBPE",1053,"CCAAT enhancer binding protein epsilon [Source:HGNC Symbol;Acc:HGNC:1836]","protein_coding"
"CEBPZ",10153,"CCAAT enhancer binding protein zeta [Source:HGNC Symbol;Acc:HGNC:24218]","protein_coding"
"CECR2",27443,"CECR2 histone acetyl-lysine reader [Source:HGNC Symbol;Acc:HGNC:1840]","protein_coding"
"CECR3",27442,"cat eye syndrome chromosome region, candidate 3 [Source:HGNC Symbol;Acc:HGNC:1841]","lncRNA"
"CECR7",NA,"cat eye syndrome chromosome region, candidate 7 [Source:HGNC Symbol;Acc:HGNC:1845]","transcribed_unprocessed_pseudogene"
"CEL",1056,"carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]","protein_coding"
"CELA1",1990,"chymotrypsin like elastase 1 [Source:HGNC Symbol;Acc:HGNC:3308]","protein_coding"
"CELA2A",63036,"chymotrypsin like elastase 2A [Source:HGNC Symbol;Acc:HGNC:24609]","protein_coding"
"CELA2B",51032,"chymotrypsin like elastase 2B [Source:HGNC Symbol;Acc:HGNC:29995]","protein_coding"
"CELA3B",23436,"chymotrypsin like elastase 3B [Source:HGNC Symbol;Acc:HGNC:15945]","protein_coding"
"CELF1",10658,"CUGBP Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]","protein_coding"
"CELF2",10659,"CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]","protein_coding"
"CELF3",11189,"CUGBP Elav-like family member 3 [Source:HGNC Symbol;Acc:HGNC:11967]","protein_coding"
"CELF4",56853,"CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]","protein_coding"
"CELF5",60680,"CUGBP Elav-like family member 5 [Source:HGNC Symbol;Acc:HGNC:14058]","protein_coding"
"CELF6",60677,"CUGBP Elav-like family member 6 [Source:HGNC Symbol;Acc:HGNC:14059]","protein_coding"
"CELP",NA,"carboxyl ester lipase pseudogene [Source:HGNC Symbol;Acc:HGNC:1849]","transcribed_unprocessed_pseudogene"
"CELSR1",9620,"cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]","protein_coding"
"CELSR2",1952,"cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]","protein_coding"
"CELSR3",1951,"cadherin EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:HGNC:3230]","protein_coding"
"CEMP1",752014,"cementum protein 1 [Source:HGNC Symbol;Acc:HGNC:32553]","protein_coding"
"CEND1",51286,"cell cycle exit and neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:24153]","protein_coding"
"CENPA",1058,"centromere protein A [Source:HGNC Symbol;Acc:HGNC:1851]","protein_coding"
"CENPB",1059,"centromere protein B [Source:HGNC Symbol;Acc:HGNC:1852]","protein_coding"
"CENPE",1062,"centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]","protein_coding"
"CENPF",1063,"centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]","protein_coding"
"CENPH",64946,"centromere protein H [Source:HGNC Symbol;Acc:HGNC:17268]","protein_coding"
"CENPI",2491,"centromere protein I [Source:HGNC Symbol;Acc:HGNC:3968]","protein_coding"
"CENPJ",55835,"centromere protein J [Source:HGNC Symbol;Acc:HGNC:17272]","protein_coding"
"CENPK",64105,"centromere protein K [Source:HGNC Symbol;Acc:HGNC:29479]","protein_coding"
"CENPL",91687,"centromere protein L [Source:HGNC Symbol;Acc:HGNC:17879]","protein_coding"
"CENPM",79019,"centromere protein M [Source:HGNC Symbol;Acc:HGNC:18352]","protein_coding"
"CENPN",55839,"centromere protein N [Source:HGNC Symbol;Acc:HGNC:30873]","protein_coding"
"CENPO",79172,"centromere protein O [Source:HGNC Symbol;Acc:HGNC:28152]","protein_coding"
"CENPP",401541,"centromere protein P [Source:HGNC Symbol;Acc:HGNC:32933]","protein_coding"
"CENPQ",55166,"centromere protein Q [Source:HGNC Symbol;Acc:HGNC:21347]","protein_coding"
"CENPT",80152,"centromere protein T [Source:HGNC Symbol;Acc:HGNC:25787]","protein_coding"
"CENPV",201161,"centromere protein V [Source:HGNC Symbol;Acc:HGNC:29920]","protein_coding"
"CENPW",387103,"centromere protein W [Source:HGNC Symbol;Acc:HGNC:21488]","protein_coding"
"CEP104",9731,"centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866]","protein_coding"
"CEP112",201134,"centrosomal protein 112 [Source:HGNC Symbol;Acc:HGNC:28514]","protein_coding"
"CEP120",153241,"centrosomal protein 120 [Source:HGNC Symbol;Acc:HGNC:26690]","protein_coding"
"CEP128",145508,"centrosomal protein 128 [Source:HGNC Symbol;Acc:HGNC:20359]","protein_coding"
"CEP135",9662,"centrosomal protein 135 [Source:HGNC Symbol;Acc:HGNC:29086]","protein_coding"
"CEP152",22995,"centrosomal protein 152 [Source:HGNC Symbol;Acc:HGNC:29298]","protein_coding"
"CEP164",22897,"centrosomal protein 164 [Source:HGNC Symbol;Acc:HGNC:29182]","protein_coding"
"CEP170",9859,"centrosomal protein 170 [Source:HGNC Symbol;Acc:HGNC:28920]","protein_coding"
"CEP170P1",NA,"centrosomal protein 170 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:28364]","transcribed_unprocessed_pseudogene"
"CEP19",84984,"centrosomal protein 19 [Source:HGNC Symbol;Acc:HGNC:28209]","protein_coding"
"CEP192",55125,"centrosomal protein 192 [Source:HGNC Symbol;Acc:HGNC:25515]","protein_coding"
"CEP250",11190,"centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859]","protein_coding"
"CEP290",80184,"centrosomal protein 290 [Source:HGNC Symbol;Acc:HGNC:29021]","protein_coding"
"CEP350",9857,"centrosomal protein 350 [Source:HGNC Symbol;Acc:HGNC:24238]","protein_coding"
"CEP41",95681,"centrosomal protein 41 [Source:HGNC Symbol;Acc:HGNC:12370]","protein_coding"
"CEP44",80817,"centrosomal protein 44 [Source:HGNC Symbol;Acc:HGNC:29356]","protein_coding"
"CEP55",55165,"centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]","protein_coding"
"CEP57",9702,"centrosomal protein 57 [Source:HGNC Symbol;Acc:HGNC:30794]","protein_coding"
"CEP57L1",285753,"centrosomal protein 57 like 1 [Source:HGNC Symbol;Acc:HGNC:21561]","protein_coding"
"CEP63",80254,"centrosomal protein 63 [Source:HGNC Symbol;Acc:HGNC:25815]","protein_coding"
"CEP68",23177,"centrosomal protein 68 [Source:HGNC Symbol;Acc:HGNC:29076]","protein_coding"
"CEP70",80321,"centrosomal protein 70 [Source:HGNC Symbol;Acc:HGNC:29972]","protein_coding"
"CEP72",55722,"centrosomal protein 72 [Source:HGNC Symbol;Acc:HGNC:25547]","protein_coding"
"CEP76",79959,"centrosomal protein 76 [Source:HGNC Symbol;Acc:HGNC:25727]","protein_coding"
"CEP78",84131,"centrosomal protein 78 [Source:HGNC Symbol;Acc:HGNC:25740]","protein_coding"
"CEP85",64793,"centrosomal protein 85 [Source:HGNC Symbol;Acc:HGNC:25309]","protein_coding"
"CEP85L",387119,"centrosomal protein 85 like [Source:HGNC Symbol;Acc:HGNC:21638]","protein_coding"
"CEP89",84902,"centrosomal protein 89 [Source:HGNC Symbol;Acc:HGNC:25907]","protein_coding"
"CEP95",90799,"centrosomal protein 95 [Source:HGNC Symbol;Acc:HGNC:25141]","protein_coding"
"CEP97",79598,"centrosomal protein 97 [Source:HGNC Symbol;Acc:HGNC:26244]","protein_coding"
"CEPT1",10390,"choline/ethanolamine phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:24289]","protein_coding"
"CER1",9350,"cerberus 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:1862]","protein_coding"
"CERCAM",51148,"cerebral endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:23723]","protein_coding"
"CERK",64781,"ceramide kinase [Source:HGNC Symbol;Acc:HGNC:19256]","protein_coding"
"CERKL",375298,"ceramide kinase like [Source:HGNC Symbol;Acc:HGNC:21699]","protein_coding"
"CERS1",10715,"ceramide synthase 1 [Source:HGNC Symbol;Acc:HGNC:14253]","protein_coding"
"CERS2",29956,"ceramide synthase 2 [Source:HGNC Symbol;Acc:HGNC:14076]","protein_coding"
"CERS3",204219,"ceramide synthase 3 [Source:HGNC Symbol;Acc:HGNC:23752]","protein_coding"
"CERS4",79603,"ceramide synthase 4 [Source:HGNC Symbol;Acc:HGNC:23747]","protein_coding"
"CERS5",91012,"ceramide synthase 5 [Source:HGNC Symbol;Acc:HGNC:23749]","protein_coding"
"CERS6",253782,"ceramide synthase 6 [Source:HGNC Symbol;Acc:HGNC:23826]","protein_coding"
"CES1",1066,"carboxylesterase 1 [Source:HGNC Symbol;Acc:HGNC:1863]","protein_coding"
"CES1P2",NA,"carboxylesterase 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:48928]","transcribed_unprocessed_pseudogene"
"CES2",8824,"carboxylesterase 2 [Source:HGNC Symbol;Acc:HGNC:1864]","protein_coding"
"CES3",23491,"carboxylesterase 3 [Source:HGNC Symbol;Acc:HGNC:1865]","protein_coding"
"CES4A",283848,"carboxylesterase 4A [Source:HGNC Symbol;Acc:HGNC:26741]","protein_coding"
"CES5A",221223,"carboxylesterase 5A [Source:HGNC Symbol;Acc:HGNC:26459]","protein_coding"
"CES5AP1",NA,"carboxylesterase 5A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38516]","transcribed_unprocessed_pseudogene"
"CETN1",1068,"centrin 1 [Source:HGNC Symbol;Acc:HGNC:1866]","protein_coding"
"CETN2",1069,"centrin 2 [Source:HGNC Symbol;Acc:HGNC:1867]","protein_coding"
"CETN3",1070,"centrin 3 [Source:HGNC Symbol;Acc:HGNC:1868]","protein_coding"
"CETN4P",NA,"centrin 4, pseudogene [Source:HGNC Symbol;Acc:HGNC:35450]","transcribed_unitary_pseudogene"
"CETP",1071,"cholesteryl ester transfer protein [Source:HGNC Symbol;Acc:HGNC:1869]","protein_coding"
"CFB",629,"complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]","protein_coding"
"CFD",1675,"complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]","protein_coding"
"CFDP1",10428,"craniofacial development protein 1 [Source:HGNC Symbol;Acc:HGNC:1873]","protein_coding"
"CFH",3075,"complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]","protein_coding"
"CFHR1",3078,"complement factor H related 1 [Source:HGNC Symbol;Acc:HGNC:4888]","protein_coding"
"CFHR2",3080,"complement factor H related 2 [Source:HGNC Symbol;Acc:HGNC:4890]","protein_coding"
"CFHR5",81494,"complement factor H related 5 [Source:HGNC Symbol;Acc:HGNC:24668]","protein_coding"
"CFI",3426,"complement factor I [Source:HGNC Symbol;Acc:HGNC:5394]","protein_coding"
"CFL1",1072,"cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]","protein_coding"
"CFL1P1",NA,"cofilin 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:28560]","transcribed_unprocessed_pseudogene"
"CFL2",1073,"cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]","protein_coding"
"CFLAR",8837,"CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]","protein_coding"
"CFP",5199,"complement factor properdin [Source:HGNC Symbol;Acc:HGNC:8864]","protein_coding"
"CFTR",1080,"CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]","protein_coding"
"CGB2",114336,"chorionic gonadotropin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:16722]","protein_coding"
"CGB5",93659,"chorionic gonadotropin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:16452]","protein_coding"
"CGB8",94115,"chorionic gonadotropin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:16453]","protein_coding"
"CGGBP1",8545,"CGG triplet repeat binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1888]","protein_coding"
"CGN",57530,"cingulin [Source:HGNC Symbol;Acc:HGNC:17429]","protein_coding"
"CGNL1",84952,"cingulin like 1 [Source:HGNC Symbol;Acc:HGNC:25931]","protein_coding"
"CGREF1",10669,"cell growth regulator with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:16962]","protein_coding"
"CGRRF1",10668,"cell growth regulator with ring finger domain 1 [Source:HGNC Symbol;Acc:HGNC:15528]","protein_coding"
"CH25H",9023,"cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]","protein_coding"
"CHAC1",79094,"ChaC glutathione specific gamma-glutamylcyclotransferase 1 [Source:HGNC Symbol;Acc:HGNC:28680]","protein_coding"
"CHAC2",494143,"ChaC glutathione specific gamma-glutamylcyclotransferase 2 [Source:HGNC Symbol;Acc:HGNC:32363]","protein_coding"
"CHAD",1101,"chondroadherin [Source:HGNC Symbol;Acc:HGNC:1909]","protein_coding"
"CHADL",150356,"chondroadherin like [Source:HGNC Symbol;Acc:HGNC:25165]","protein_coding"
"CHAF1A",10036,"chromatin assembly factor 1 subunit A [Source:HGNC Symbol;Acc:HGNC:1910]","protein_coding"
"CHAF1B",8208,"chromatin assembly factor 1 subunit B [Source:HGNC Symbol;Acc:HGNC:1911]","protein_coding"
"CHAMP1",283489,"chromosome alignment maintaining phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:20311]","protein_coding"
"CHAT",1103,"choline O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:1912]","protein_coding"
"CHCHD1",118487,"coiled-coil-helix-coiled-coil-helix domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23518]","protein_coding"
"CHCHD10",400916,"coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:HGNC Symbol;Acc:HGNC:15559]","protein_coding"
"CHCHD2",51142,"coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21645]","protein_coding"
"CHCHD3",54927,"coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21906]","protein_coding"
"CHCHD4",131474,"coiled-coil-helix-coiled-coil-helix domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26467]","protein_coding"
"CHCHD5",84269,"coiled-coil-helix-coiled-coil-helix domain containing 5 [Source:HGNC Symbol;Acc:HGNC:17840]","protein_coding"
"CHCHD6",84303,"coiled-coil-helix-coiled-coil-helix domain containing 6 [Source:HGNC Symbol;Acc:HGNC:28184]","protein_coding"
"CHCHD7",79145,"coiled-coil-helix-coiled-coil-helix domain containing 7 [Source:HGNC Symbol;Acc:HGNC:28314]","protein_coding"
