,Gene,Gene ID,Gene Length
1780,C22orf42,ENSG00000205856,10317
1781,ADORA2A-AS1,ENSG00000178803,65869
1782,C2CD2,ENSG00000157617,68907
1783,C2CD2L,ENSG00000172375,16347
1784,C2CD3,ENSG00000168014,158493
1785,C2CD4A,ENSG00000198535,3941
1786,C2CD4B,ENSG00000205502,1751
1787,C2CD4C,ENSG00000183186,3703
1788,C2CD4D,ENSG00000225556,2740
1789,C2orf15,ENSG00000273045,9963
1790,ATRAID,ENSG00000138085,5138
1791,C2orf42,ENSG00000115998,98731
1792,C2orf49,ENSG00000135974,13181
1793,C2orf50,ENSG00000150873,18190
1794,NDUFAF7,ENSG00000003509,21773
1795,CLHC1,ENSG00000162994,60017
1796,C2orf66,ENSG00000187944,4939
1797,KANSL1L,ENSG00000144445,149989
1798,C2orf68,ENSG00000168887,6813
1799,C2orf69,ENSG00000178074,44643
1800,C2orf72,ENSG00000204128,12197
1801,C2orf73,ENSG00000177994,53709
1802,C2orf74,ENSG00000237651,19761
1803,C2orf76,ENSG00000186132,64610
1804,C2orf78,ENSG00000187833,32966
1805,C2orf80,ENSG00000188674,24688
1806,C2orf81,ENSG00000284308,7444
1807,FAM228A,ENSG00000186453,25797
1808,C2orf88,ENSG00000187699,323876
1809,TRABD2A,ENSG00000186854,85359
1810,C3,ENSG00000125730,52859
1811,C3AR1,ENSG00000171860,9516
1812,C3orf18,ENSG00000088543,13003
1813,CCDC174,ENSG00000154781,20898
1814,C3orf20,ENSG00000131379,97896
1815,C3orf22,ENSG00000180697,31967
1816,TCAIM,ENSG00000179152,71333
1817,EFCAB12,ENSG00000172771,27316
1818,CMSS1,ENSG00000184220,363896
1819,C3orf33,ENSG00000174928,43662
1820,C3orf36,ENSG00000288547,1668
1821,C3orf38,ENSG00000179021,18771
1822,C3orf49,ENSG00000163632,29338
1823,C3orf52,ENSG00000114529,44670
1824,C3orf62,ENSG00000188315,8637
1825,EOGT,ENSG00000163378,38468
1826,C3orf70,ENSG00000187068,76223
1827,ARIH2OS,ENSG00000221883,1065
1828,ELP6,ENSG00000163832,18073
1829,TOPAZ1,ENSG00000173769,90213
1830,C3orf80,ENSG00000180044,2792
1831,C4BPA,ENSG00000123838,40740
1832,C4BPB,ENSG00000123843,11134
1833,C4orf17,ENSG00000138813,31292
1834,C4orf19,ENSG00000154274,169571
1835,C4orf3,ENSG00000164096,8027
1836,C4orf33,ENSG00000151470,23324
1837,C4orf36,ENSG00000163633,16218
1838,C4orf36,ENSG00000285458,49707
1839,STPG2,ENSG00000163116,959384
1840,WWC2-AS2,ENSG00000251359,40026
1841,FAM218A,ENSG00000250486,2177
1842,TMA16,ENSG00000198498,26098
1843,MSANTD1,ENSG00000188981,27370
1844,C4orf46,ENSG00000205208,5581
1845,MGARP,ENSG00000137463,14061
1846,C4orf51,ENSG00000237136,90887
1847,C5,ENSG00000106804,142209
1848,C5orf15,ENSG00000113583,13165
1849,C5orf22,ENSG00000082213,22767
1850,C5orf24,ENSG00000181904,14056
1851,CYSTM1,ENSG00000120306,106897
1852,C5orf34,ENSG00000172244,28440
1853,SETD9,ENSG00000155542,16273
1854,ANXA2R,ENSG00000177721,3938
1855,CREBRF,ENSG00000164463,82933
1856,C5orf46,ENSG00000178776,25813
1857,C5orf47,ENSG00000185056,32362
1858,C5orf52,ENSG00000187658,8626
1859,C5orf58,ENSG00000234511,23472
1860,C5orf60,ENSG00000204661,16889
1861,SMIM3,ENSG00000256235,17978
1862,C5orf63,ENSG00000164241,28272
1863,PROB1,ENSG00000228672,4513
1864,C6,ENSG00000039537,119323
1865,ADGB,ENSG00000118492,216496
1866,ADTRP,ENSG00000111863,94993
1867,ABRACL,ENSG00000146386,14558
1868,C6orf118,ENSG00000112539,29942
1869,C6orf120,ENSG00000185127,4235
1870,CLPSL2,ENSG00000196748,2959
1871,CLPSL1,ENSG00000204140,12657
1872,C6orf132,ENSG00000188112,50388
1873,C6orf136,ENSG00000204564,6172
1874,PTCHD4,ENSG00000244694,254525
1875,C6orf141,ENSG00000197261,11242
1876,FAM217A,ENSG00000145975,37911
1877,C6orf15,ENSG00000204542,1353
1878,C6orf163,ENSG00000203872,20651
1879,FAXC,ENSG00000146267,78895
1880,METTL24,ENSG00000053328,114410
1881,TMEM244,ENSG00000203756,30304
1882,SLC18B1,ENSG00000146409,43970
1883,LINC00574,ENSG00000231690,100773
1884,KHDC3L,ENSG00000203908,1514
1885,C6orf226,ENSG00000221821,557
1886,C6orf47,ENSG00000204439,2481
1887,C6orf52,ENSG00000137434,23380
1888,C6orf58,ENSG00000184530,72366
1889,C6orf62,ENSG00000112308,15965
1890,GINM1,ENSG00000055211,25455
1891,C6orf89,ENSG00000198663,57095
1892,ZC2HC1B,ENSG00000118491,73908
1893,CCDC170,ENSG00000120262,127177
1894,C7,ENSG00000112936,110725
1895,MPLKIP,ENSG00000168303,8596
1896,C7orf25,ENSG00000136197,3033
1897,MALSU1,ENSG00000156928,12991
1898,C7orf33,ENSG00000170279,25095
1899,TMEM248,ENSG00000106609,37327
1900,COA1,ENSG00000106603,121262
1901,FAM221A,ENSG00000188732,23120
1902,C7orf50,ENSG00000146540,141275
1903,C7orf57,ENSG00000164746,25794
1904,CPED1,ENSG00000106034,308746
1905,LAMTOR4,ENSG00000188186,7033
1906,FAM220A,ENSG00000178397,19571
1907,C8A,ENSG00000157131,63456
1908,C8B,ENSG00000021852,45177
1909,C8G,ENSG00000176919,1791
1910,C8orf33,ENSG00000182307,14221
1911,C8orf34,ENSG00000165084,488069
1912,NDUFAF6,ENSG00000156170,220923
1913,RBM12B-AS1,ENSG00000279331,653
1914,C8orf44,ENSG00000288596,18090
1915,MCMDC2,ENSG00000178460,51300
1916,C8orf48,ENSG00000164743,1420
1917,RHPN1-AS1,ENSG00000254389,2216
1918,C8orf58,ENSG00000241852,4552
1919,LINC00588,ENSG00000215117,7426
1920,C8orf74,ENSG00000171060,27963
1921,C8orf76,ENSG00000189376,21411
1922,ZNF252P-AS1,ENSG00000255559,34342
1923,NUGGC,ENSG00000189233,61973
1924,C8orf82,ENSG00000213563,3400
1925,TRIQK,ENSG00000205133,134142
1926,SBSPON,ENSG00000164764,59546
1927,AARD,ENSG00000205002,6281
1928,C9,ENSG00000113600,87185
1929,ARHGEF39,ENSG00000137135,16992
1930,ERCC6L2,ENSG00000182150,249891
1931,IDNK,ENSG00000148057,21082
1932,EQTN,ENSG00000120160,12497
1933,FAM221B,ENSG00000204930,12357
1934,SAPCD2,ENSG00000186193,8431
1935,LINC00583,ENSG00000205636,17640
1936,LURAP1L,ENSG00000153714,48041
1937,C9orf152,ENSG00000188959,18112
1938,C9orf153,ENSG00000187753,39393
1939,C9orf163,ENSG00000196366,2573
1940,FAM219A,ENSG00000164970,60387
1941,LRRC37A5P,ENSG00000204173,585
1942,LRRC37A5P,ENSG00000290837,28467
1943,FRRS1L,ENSG00000260230,36957
1944,C9orf43,ENSG00000157653,19637
1945,PLGRKT,ENSG00000107020,79955
1946,TMEM245,ENSG00000106771,104813
1947,C9orf50,ENSG00000179058,8877
1948,C9orf57,ENSG00000204669,21346
1949,SPATA6L,ENSG00000106686,113289
1950,CACFD1,ENSG00000160325,10884
1951,TMEM252,ENSG00000181778,4304
1952,C9orf72,ENSG00000147894,38227
1953,C9orf78,ENSG00000136819,8574
1954,SPATA31E1,ENSG00000177992,6027
1955,INIP,ENSG00000148153,34224
1956,CAAP1,ENSG00000120159,52119
1957,C9orf85,ENSG00000155621,74545
1958,RABL6,ENSG00000196642,33245
1959,CCDC171,ENSG00000164989,508621
1960,NMRK1,ENSG00000106733,27645
1961,CA1,ENSG00000133742,51407
1962,CA10,ENSG00000154975,529705
1963,CA11,ENSG00000063180,8242
1964,CA12,ENSG00000074410,60469
1965,CA13,ENSG00000185015,63487
1966,CA14,ENSG00000118298,7828
1967,CA2,ENSG00000104267,17526
1968,CA3,ENSG00000164879,75605
1969,CA4,ENSG00000167434,20958
1970,CA5A,ENSG00000174990,55035
1971,CA5B,ENSG00000169239,99582
1972,CA5BP1,ENSG00000186312,22140
1973,CA5BP1,ENSG00000290746,28793
1974,CA6,ENSG00000131686,29226
1975,CA7,ENSG00000168748,9740
1976,CA8,ENSG00000178538,95989
1977,CA9,ENSG00000107159,7232
1978,CAB39,ENSG00000135932,108234
1979,CAB39L,ENSG00000102547,135415
1980,CABIN1,ENSG00000099991,167437
1981,CABLES1,ENSG00000134508,125907
1982,CABLES2,ENSG00000149679,18652
1983,CABP1,ENSG00000157782,26699
1984,CABP2,ENSG00000167791,5606
1985,CABP4,ENSG00000175544,9347
1986,CABP5,ENSG00000105507,14697
1987,CABP7,ENSG00000100314,11831
1988,CABS1,ENSG00000145309,2136
1989,CABYR,ENSG00000154040,22614
1990,CACHD1,ENSG00000158966,222930
1991,CACNA1A,ENSG00000141837,418048
1992,CACNA1B,ENSG00000148408,246843
1993,CACNA1C,ENSG00000151067,727179
1994,CACNA1D,ENSG00000157388,484771
1995,CACNA1E,ENSG00000198216,495573
1996,CACNA1F,ENSG00000102001,28309
1997,CACNA1G,ENSG00000006283,66760
1998,CACNA1H,ENSG00000196557,71067
1999,CACNA1I,ENSG00000100346,118983
2000,CACNA1S,ENSG00000081248,72940
2001,CACNA2D1,ENSG00000153956,497513
2002,CACNA2D2,ENSG00000007402,141632
2003,CACNA2D3,ENSG00000157445,952006
2004,CACNA2D4,ENSG00000151062,126704
2005,CACNB1,ENSG00000067191,24250
2006,CACNB2,ENSG00000165995,403134
2007,CACNB3,ENSG00000167535,15148
2008,CACNB4,ENSG00000182389,266397
2009,CACNG1,ENSG00000108878,12244
2010,CACNG2,ENSG00000166862,142896
2011,CACNG3,ENSG00000006116,106078
2012,CACNG4,ENSG00000075461,68692
2013,CACNG5,ENSG00000075429,59635
2014,CACNG6,ENSG00000130433,21030
2015,CACNG7,ENSG00000105605,34673
2016,CACNG8,ENSG00000142408,27279
2017,CACYBP,ENSG00000116161,12865
2018,CAD,ENSG00000084774,26575
2019,CADM1,ENSG00000182985,335740
2020,CADM2,ENSG00000175161,1115441
2021,CADM3,ENSG00000162706,31705
2022,CADM4,ENSG00000105767,17483
2023,CADPS,ENSG00000163618,477071
2024,CADPS2,ENSG00000081803,568349
2025,CAGE1,ENSG00000164304,63087
2026,CAHM,ENSG00000270419,47151
2027,CALB1,ENSG00000104327,36868
2028,CALB2,ENSG00000172137,31724
2029,CALCA,ENSG00000110680,5733
2030,CALCB,ENSG00000175868,177346
2031,CALCOCO1,ENSG00000012822,19229
2032,CALCOCO2,ENSG00000136436,37211
2033,CALCR,ENSG00000004948,150245
2034,CALCRL,ENSG00000064989,106497
2035,CALD1,ENSG00000122786,226478
2036,CALHM1,ENSG00000185933,5661
2037,CALHM2,ENSG00000138172,5617
2038,CALHM3,ENSG00000183128,6437
2039,CALM1,ENSG00000198668,11767
2040,CALM2,ENSG00000143933,16838
2041,CALM3,ENSG00000160014,9709
2042,CALML3,ENSG00000178363,1811
2043,CALML4,ENSG00000129007,15375
2044,CALML5,ENSG00000178372,874
2045,CALML6,ENSG00000169885,2189
2046,CALN1,ENSG00000183166,667661
2047,CALR,ENSG00000179218,5912
2048,CALR3,ENSG00000269058,17107
2049,CALU,ENSG00000128595,34109
2050,CALY,ENSG00000130643,12864
2051,CAMK1,ENSG00000134072,12646
2052,CAMK1D,ENSG00000183049,485999
2053,CAMK1G,ENSG00000008118,30226
2054,CAMK2A,ENSG00000070808,70603
2055,CAMK2B,ENSG00000058404,124559
2056,CAMK2D,ENSG00000145349,343874
2057,CAMK2G,ENSG00000148660,62091
2058,CAMK2N1,ENSG00000162545,3820
2059,CAMK2N2,ENSG00000163888,2341
2060,CAMK4,ENSG00000152495,271234
2061,CAMKK1,ENSG00000004660,34577
2062,CAMKK2,ENSG00000110931,60634
2063,CAMKMT,ENSG00000143919,410646
2064,CAMKV,ENSG00000164076,11948
2065,CAMLG,ENSG00000164615,13663
2066,CAMP,ENSG00000164047,2145
2067,CAMSAP1,ENSG00000130559,99060
2068,CAMSAP2,ENSG00000118200,121815
2069,CAMSAP3,ENSG00000076826,22442
2070,CAMTA1,ENSG00000171735,984253
2071,CAMTA2,ENSG00000108509,19684
2072,CAND1,ENSG00000111530,50596
2073,CAND2,ENSG00000144712,38333
2074,CANT1,ENSG00000171302,18152
2075,CANX,ENSG00000127022,53014
2076,CAP1,ENSG00000131236,32417
2077,CAP2,ENSG00000112186,164186
2078,CAPG,ENSG00000042493,23680
2079,CAPN1,ENSG00000014216,31441
2080,CAPN10,ENSG00000142330,30972
2081,CAPN11,ENSG00000137225,25591
2082,CAPN12,ENSG00000182472,39718
2083,CAPN13,ENSG00000162949,97772
2084,CAPN14,ENSG00000214711,60803
2085,CAPN2,ENSG00000162909,74426
2086,CAPN3,ENSG00000092529,53452
2087,CAPN5,ENSG00000149260,59195
2088,CAPN6,ENSG00000077274,25385
2089,CAPN7,ENSG00000131375,46765
2090,CAPN8,ENSG00000203697,127717
2091,CAPN9,ENSG00000135773,54620
2092,CAPNS1,ENSG00000126247,10401
2093,CAPNS2,ENSG00000256812,1004
2094,CAPRIN1,ENSG00000135387,50880
2095,CAPRIN2,ENSG00000110888,113751
2096,CAPS,ENSG00000105519,3873
2097,CAPS2,ENSG00000180881,114950
2098,CAPSL,ENSG00000152611,34492
2099,CAPZA1,ENSG00000116489,51812
2100,CAPZA2,ENSG00000198898,110980
2101,CAPZA3,ENSG00000177938,1070
2102,CAPZB,ENSG00000077549,146765
2103,CARD10,ENSG00000100065,29181
2104,CARD11,ENSG00000198286,138087
2105,CARD14,ENSG00000141527,46082
2106,CARD18,ENSG00000255501,393984
2107,CARD6,ENSG00000132357,18868
2108,CARD8,ENSG00000105483,75177
2109,CARD9,ENSG00000187796,9726
2110,CARHSP1,ENSG00000153048,16071
2111,CARM1,ENSG00000142453,51523
2112,CARNS1,ENSG00000172508,10640
2113,CARS2,ENSG00000134905,72192
2114,CARTPT,ENSG00000164326,1774
2115,CASC3,ENSG00000108349,31866
2116,CASD1,ENSG00000127995,47801
2117,CASK,ENSG00000147044,408621
2118,CASKIN1,ENSG00000167971,19426
2119,CASKIN2,ENSG00000177303,15277
2120,CASP1,ENSG00000137752,9854
2121,CASP10,ENSG00000003400,46557
2122,CASP12,ENSG00000204403,12953
2123,CASP14,ENSG00000105141,8814
2124,CASP2,ENSG00000106144,19482
2125,CASP3,ENSG00000164305,22367
2126,CASP4,ENSG00000196954,26501
2127,CASP5,ENSG00000137757,28934
2128,CASP6,ENSG00000138794,14962
2129,CASP7,ENSG00000165806,51746
2130,CASP8,ENSG00000064012,128394
2131,CASP8AP2,ENSG00000118412,44543
2132,CASP9,ENSG00000132906,35703
2133,CASQ1,ENSG00000143318,11312
2134,CASQ2,ENSG00000118729,139884
2135,CASR,ENSG00000036828,107962
2136,CASS4,ENSG00000087589,48276
2137,CAST,ENSG00000153113,669085
2138,CAST,ENSG00000310517,531840
2139,CASZ1,ENSG00000130940,160047
2140,CAT,ENSG00000121691,33127
2141,CATSPER1,ENSG00000175294,9728
2142,CATSPER2,ENSG00000166762,39616
2143,CATSPER3,ENSG00000152705,43790
2144,CATSPER4,ENSG00000188782,12408
2145,CATSPERB,ENSG00000133962,200012
2146,CATSPERG,ENSG00000099338,35169
2147,CAV1,ENSG00000105974,36186
2148,CAV2,ENSG00000105971,221162
2149,CAV3,ENSG00000182533,108007
2150,CBFA2T2,ENSG00000078699,159962
2151,CBFA2T3,ENSG00000129993,102350
2152,CBFB,ENSG00000067955,72075
2153,CBL,ENSG00000110395,107629
2154,CBLB,ENSG00000114423,214092
2155,CBLC,ENSG00000142273,22784
2156,CBLL1,ENSG00000105879,18595
2157,CBLN1,ENSG00000102924,3922
2158,CBLN2,ENSG00000141668,101842
2159,CBLN3,ENSG00000139899,4410
2160,CBLN4,ENSG00000054803,8163
2161,CBR1,ENSG00000159228,3226
2162,CBR3,ENSG00000159231,11484
2163,CBR4,ENSG00000145439,146506
2164,CBS,ENSG00000160200,23753
2165,CBX1,ENSG00000108468,31427
2166,CBX2,ENSG00000173894,9836
2167,CBX3,ENSG00000122565,12446
2168,CBX3P2,ENSG00000266405,535
2169,CBX4,ENSG00000141582,6285
2170,CBX5,ENSG00000094916,49192
2171,CBX6,ENSG00000183741,10828
2172,CBX7,ENSG00000100307,32514
2173,CBX8,ENSG00000141570,9552
2174,CBY1,ENSG00000100211,17219
2175,CBY3,ENSG00000204659,2475
2176,CC2D1A,ENSG00000132024,24679
2177,CC2D1B,ENSG00000154222,20483
2178,CC2D2A,ENSG00000048342,131688
2179,CC2D2B,ENSG00000188649,126143
2180,CCAR1,ENSG00000060339,71366
2181,CCBE1,ENSG00000183287,266724
2182,CCDC102A,ENSG00000135736,24391
2183,CCDC102B,ENSG00000150636,339981
2184,CCDC103,ENSG00000167131,6249
2185,CCDC106,ENSG00000173581,12100
2186,CCDC107,ENSG00000159884,3222
2187,CCDC110,ENSG00000168491,26571
2188,CCDC112,ENSG00000164221,29504
2189,CCDC115,ENSG00000136710,4767
2190,CCDC116,ENSG00000161180,4614
2191,CCDC117,ENSG00000159873,16628
2192,CCDC12,ENSG00000160799,65377
2193,CCDC120,ENSG00000147144,16286
2194,CCDC121,ENSG00000176714,3375
2195,CCDC122,ENSG00000151773,55832
2196,CCDC124,ENSG00000007080,10977
2197,CCDC125,ENSG00000183323,52635
2198,CCDC126,ENSG00000169193,47327
2199,CCDC127,ENSG00000164366,21286
2200,CCDC13,ENSG00000244607,67498
2201,CCDC134,ENSG00000100147,31486
2202,CCDC136,ENSG00000128596,31376
2203,CCDC137,ENSG00000185298,7168
2204,CCDC138,ENSG00000163006,98721
2205,CCDC14,ENSG00000175455,64104
2206,CCDC140,ENSG00000163081,7071
2207,CCDC141,ENSG00000163492,220381
2208,CCDC142,ENSG00000135637,11423
2209,CCDC144A,ENSG00000170160,88345
2210,CCDC144NL,ENSG00000205212,2629
2211,CCDC144NL,ENSG00000291074,120856
2212,CCDC146,ENSG00000135205,207100
2213,CCDC148,ENSG00000153237,285681
2214,CCDC149,ENSG00000181982,176691
2215,CCDC15,ENSG00000149548,87369
2216,CCDC150,ENSG00000144395,123937
2217,CCDC152,ENSG00000198865,45622
2218,CCDC154,ENSG00000197599,10174
2219,CCDC157,ENSG00000187860,22039
2220,CCDC158,ENSG00000163749,108872
2221,CCDC159,ENSG00000183401,10261
2222,CCDC160,ENSG00000203952,9796
2223,CCDC162P,ENSG00000203799,171092
2224,CCDC166,ENSG00000255181,1416
2225,CCDC167,ENSG00000198937,16956
2226,CCDC17,ENSG00000159588,4014
2227,CCDC18,ENSG00000122483,98812
2228,CCDC22,ENSG00000101997,15051
2229,CCDC24,ENSG00000159214,5170
2230,CCDC25,ENSG00000147419,39338
2231,CCDC27,ENSG00000162592,25186
2232,CCDC28A,ENSG00000024862,19551
2233,CCDC28B,ENSG00000160050,4859
2234,CCDC3,ENSG00000151468,203028
2235,CCDC30,ENSG00000186409,193970
2236,CCDC33,ENSG00000140481,133768
2237,CCDC34,ENSG00000109881,32408
2238,CCDC38,ENSG00000165972,75588
2239,CCDC39,ENSG00000284862,82085
2240,CCDC40,ENSG00000141519,63982
2241,CCDC42,ENSG00000161973,15285
2242,CCDC43,ENSG00000180329,16711
2243,CCDC47,ENSG00000108588,31097
2244,CCDC50,ENSG00000152492,69575
2245,CCDC51,ENSG00000164051,8293
2246,CCDC54,ENSG00000138483,1197
2247,COA3,ENSG00000183978,3558
2248,CCDC57,ENSG00000176155,111419
2249,CCDC59,ENSG00000133773,135125
2250,CCDC6,ENSG00000108091,117810
2251,CCDC60,ENSG00000183273,206329
2252,CCDC62,ENSG00000130783,53003
2253,CCDC63,ENSG00000173093,60767
2254,CCDC65,ENSG00000139537,27731
2255,CCDC66,ENSG00000180376,64677
2256,CCDC68,ENSG00000166510,57953
2257,CCDC69,ENSG00000198624,43042
2258,CCDC7,ENSG00000216937,436735
2259,CCDC70,ENSG00000123171,4264
2260,CCDC71,ENSG00000177352,3797
2261,CCDC71L,ENSG00000253276,6799
2262,TMA7,ENSG00000232112,3952
2263,CCDC73,ENSG00000186714,191942
2264,CCDC74A,ENSG00000163040,5992
2265,CCDC74B,ENSG00000152076,5848
2266,TRMT13,ENSG00000122435,17347
2267,CCDC77,ENSG00000120647,53370
2268,CCDC78,ENSG00000162004,4373
2269,CCDC8,ENSG00000169515,3236
2270,CCDC80,ENSG00000091986,52734
2271,CCDC81,ENSG00000149201,48374
2272,CCDC82,ENSG00000149231,40716
2273,CCDC83,ENSG00000150676,64921
2274,CCDC85A,ENSG00000055813,202183
2275,CCDC85B,ENSG00000175602,963
2276,CCDC85C,ENSG00000205476,104018
2277,CCDC86,ENSG00000110104,8969
2278,CCDC87,ENSG00000182791,2888
2279,CCDC88A,ENSG00000115355,132054
2280,CCDC88B,ENSG00000168071,17331
2281,CCDC88C,ENSG00000015133,146522
2282,CCDC89,ENSG00000179071,2348
2283,CCDC9,ENSG00000105321,17722
2284,CCDC90B,ENSG00000137500,27310
2285,CCDC91,ENSG00000123106,448263
2286,CCDC92,ENSG00000119242,54172
2287,CCDC93,ENSG00000125633,98656
2288,CCDC97,ENSG00000142039,14702
2289,SPDL1,ENSG00000040275,21143
2290,CCHCR1,ENSG00000204536,15800
2291,CCIN,ENSG00000185972,1947
2292,CCK,ENSG00000187094,8361
2293,CCKAR,ENSG00000163394,9089
2294,CCKBR,ENSG00000110148,12322
2295,CCL1,ENSG00000108702,2906
2296,CCL11,ENSG00000172156,2593
2297,CCL13,ENSG00000181374,2131
2298,CCL14,ENSG00000276409,3717
2299,CCL15,ENSG00000275718,5114
2300,CCL16,ENSG00000275152,5005
2301,CCL17,ENSG00000102970,11297
2302,CCL18,ENSG00000275385,7761
2303,CCL19,ENSG00000172724,1707
2304,CCL2,ENSG00000108691,1935
2305,CCL20,ENSG00000115009,11826
2306,CCL21,ENSG00000137077,1132
2307,CCL22,ENSG00000102962,7407
2308,CCL23,ENSG00000274736,4917
2309,CCL24,ENSG00000106178,12532
2310,CCL25,ENSG00000131142,10343
2311,CCL26,ENSG00000006606,20364
2312,CCL27,ENSG00000213927,2169
2313,CCL28,ENSG00000151882,35747
2314,CCL3,ENSG00000277632,1914
2315,CCL4,ENSG00000275302,1795
2316,CCL5,ENSG00000271503,9303
2317,CCL7,ENSG00000108688,2022
2318,CCL8,ENSG00000108700,1968
2319,CCM2,ENSG00000136280,76995
2320,CCNA1,ENSG00000133101,11351
2321,CCNA2,ENSG00000145386,7440
2322,CCNB1,ENSG00000134057,11111
2323,CCNB1IP1,ENSG00000100814,21945
2324,CCNB2,ENSG00000157456,19920
2325,CCNB3,ENSG00000147082,149202
2326,CCNC,ENSG00000112237,26439
2327,CCND1,ENSG00000110092,13319
2328,CCND2,ENSG00000118971,35583
2329,CCND3,ENSG00000112576,115424
2330,CCNDBP1,ENSG00000166946,12060
2331,CCNE1,ENSG00000105173,12322
2332,CCNE2,ENSG00000175305,16909
2333,CCNF,ENSG00000162063,29461
2334,CCNG1,ENSG00000113328,10631
2335,CCNG2,ENSG00000138764,276182
2336,CCNH,ENSG00000134480,94614
2337,CCNI,ENSG00000118816,29155
2338,CCNI2,ENSG00000205089,6978
2339,CCNJ,ENSG00000107443,17477
2340,CCNJL,ENSG00000135083,96314
2341,CCNK,ENSG00000090061,53876
2342,CCNL1,ENSG00000163660,14253
2343,CCNL2,ENSG00000221978,13625
2344,CCNO,ENSG00000152669,2457
2345,CCNT1,ENSG00000129315,28541
2346,CCNT2,ENSG00000082258,41108
2347,CCNY,ENSG00000108100,325645
2348,CCNYL1,ENSG00000163249,50300
2349,CCP110,ENSG00000103540,29598
2350,CCPG1,ENSG00000260916,68479
2351,CCR1,ENSG00000163823,6603
2352,CCR2,ENSG00000121807,7077
2353,CCR3,ENSG00000183625,135817
2354,CCR4,ENSG00000183813,5477
2355,CCR5,ENSG00000160791,5261
2356,CCR6,ENSG00000112486,27335
2357,CCR7,ENSG00000126353,14392
2358,CCR8,ENSG00000179934,3972
2359,CCR9,ENSG00000173585,18750
2360,CCRL2,ENSG00000121797,5832
2361,CCS,ENSG00000173992,12867
2362,CCT2,ENSG00000166226,16145
2363,CCT3,ENSG00000163468,58906
2364,CCT4,ENSG00000115484,20587
2365,CCT5,ENSG00000150753,16461
2366,CCT6A,ENSG00000146731,12305
2367,CCT6B,ENSG00000132141,53220
2368,CCT6P1,ENSG00000228409,12195
2369,CCT6P3,ENSG00000234585,8850
2370,CCT6P3,ENSG00000290860,40631
2371,CCT7,ENSG00000135624,19602
2372,CCT8,ENSG00000156261,17993
2373,CCT8L2,ENSG00000198445,2060
2374,CCZ1,ENSG00000122674,27826
2375,CCZ1B,ENSG00000146574,32637
2376,CD101,ENSG00000134256,34803
2377,CD109,ENSG00000156535,132532
2378,CD14,ENSG00000170458,1973
2379,CD151,ENSG00000177697,6945
2380,CD160,ENSG00000117281,19818
2381,CD163,ENSG00000177575,33083
2382,CD163L1,ENSG00000177675,133213
2383,CD164,ENSG00000135535,15954
2384,CD164L2,ENSG00000174950,4158
2385,CD177,ENSG00000204936,9487
2386,CD180,ENSG00000134061,17187
2387,CD19,ENSG00000177455,7378
2388,CD1A,ENSG00000158477,3846
2389,CD1B,ENSG00000158485,3581
2390,CD1C,ENSG00000158481,4852
2391,CD1D,ENSG00000158473,8398
2392,CD1E,ENSG00000158488,3858
2393,CD2,ENSG00000116824,14800
2394,CD200,ENSG00000091972,30947
2395,CD200R1,ENSG00000163606,53899
2396,CD200R1L,ENSG00000206531,31156
2397,CD207,ENSG00000116031,5606
2398,CD209,ENSG00000090659,7572
2399,CD22,ENSG00000012124,28101
2400,CD226,ENSG00000150637,130646
2401,CD244,ENSG00000122223,32728
2402,CD247,ENSG00000198821,93614
2403,CD248,ENSG00000174807,2551
2404,CD27,ENSG00000139193,6764
2405,CD274,ENSG00000120217,20064
2406,CD276,ENSG00000103855,30549
2407,CD28,ENSG00000178562,33240
2408,CD2AP,ENSG00000198087,149475
2409,CD2BP2,ENSG00000169217,4536
2410,CD300A,ENSG00000167851,18400
2411,CD300C,ENSG00000167850,11772
2412,CD300E,ENSG00000186407,13861
2413,CD300LB,ENSG00000178789,12476
2414,CD300LD,ENSG00000204345,12919
2415,CD300LF,ENSG00000186074,18668
2416,CD300LG,ENSG00000161649,16492
2417,CD320,ENSG00000167775,6232
2418,CD33,ENSG00000105383,18797
2419,CD34,ENSG00000174059,30431
2420,CD36,ENSG00000135218,309703
2421,CD37,ENSG00000104894,8165
2422,CD38,ENSG00000004468,74958
2423,CD3D,ENSG00000167286,8169
2424,CD3E,ENSG00000198851,11446
2425,CD3G,ENSG00000160654,10818
2426,CD4,ENSG00000010610,33942
2427,CD40,ENSG00000101017,11593
2428,CD40LG,ENSG00000102245,12233
2429,CD44,ENSG00000026508,93521
2430,CD46,ENSG00000117335,43477
2431,CD47,ENSG00000196776,48772
2432,CD48,ENSG00000117091,33086
2433,CD5,ENSG00000110448,25364
2434,CD52,ENSG00000169442,2566
2435,CD53,ENSG00000143119,28749
2436,CD55,ENSG00000196352,65286
2437,CD58,ENSG00000116815,56506
2438,CD59,ENSG00000085063,33470
2439,CD5L,ENSG00000073754,67346
2440,CD6,ENSG00000013725,48698
2441,CD63,ENSG00000135404,4385
2442,CD68,ENSG00000129226,2621
2443,CD69,ENSG00000110848,8416
2444,CD7,ENSG00000173762,4045
2445,CD72,ENSG00000137101,36829
2446,CD74,ENSG00000019582,11333
2447,CD79A,ENSG00000105369,4094
2448,CD79B,ENSG00000007312,3599
2449,CD80,ENSG00000121594,35322
2450,CD81,ENSG00000110651,21626
2451,CD82,ENSG00000085117,55937
2452,CD83,ENSG00000112149,23427
2453,CD84,ENSG00000066294,38422
